,Bounding Box,Latitude,Longitude,Turbidity,Hue Angle,Rhow 865
0,mys_1,-3.3686464,17.759142,65.7560806274414,31.76663,0.06133644
1,mys_1,-3.368556,17.759142,66.1025390625,31.705389,0.06049092
2,mys_1,-3.368466,17.759052,67.52142333984375,31.76663,0.060249295
3,mys_1,-3.3683755,17.759052,68.85649108886719,31.408192,0.060188394
4,mys_1,-3.3682854,17.75896,70.47908020019531,31.121655,0.05988585
5,mys_1,-3.3681953,17.758871,70.59112548828125,30.64131,0.0597048
6,mys_1,-3.3681052,17.758781,70.1923828125,30.681087,0.059402894
7,mys_1,-3.368015,17.758692,72.16535949707031,30.595863,0.05910006
8,mys_1,-3.367925,17.7586,73.85717010498047,30.442287,0.058555845
9,mys_1,-3.3678346,17.7586,75.54103088378906,30.430079,0.058555845
10,mys_1,-3.3677444,17.75851,75.71299743652344,30.383154,0.058313582
11,mys_1,-3.367654,17.75851,77.00672149658203,30.306255,0.05807099
12,mys_1,-3.367564,17.758419,77.63609313964844,30.11063,0.05831309
13,mys_1,-3.3674738,17.75833,78.55332946777344,30.033041,0.058373243
14,mys_1,-3.3673837,17.75824,80.13755798339844,29.965002,0.057948813
15,mys_1,-3.3672934,17.75824,83.44393920898438,29.836185,0.05788885
16,mys_1,-3.3672032,17.758148,84.78617858886719,29.764664,0.05813095
17,mys_1,-3.3671129,17.758148,87.49305725097656,29.600363,0.058493346
18,mys_1,-3.3670228,17.758059,88.89193725585938,29.732212,0.05855329
19,mys_1,-3.3669326,17.757969,93.44924926757812,29.786873,0.058613732
20,mys_1,-3.3668425,17.757877,96.0816879272461,29.940077,0.059037484
21,mys_1,-3.3667524,17.757788,96.7476806640625,29.940077,0.05939906
22,mys_1,-3.3666625,17.757698,98.45150756835938,29.608303,0.06036442
23,mys_1,-3.366572,17.757698,100.67596435546875,29.71986,0.061331734
24,mys_1,-3.366482,17.757608,101.9694595336914,29.786873,0.061572265
25,mys_1,-3.3663917,17.757607,105.0009765625,29.647663,0.06169302
26,mys_1,-3.3663015,17.757517,105.26075744628906,29.58686,0.06036442
27,mys_1,-3.3662114,17.757427,103.71505737304688,29.666773,0.06012278
28,mys_1,-3.3661213,17.757338,103.30177307128906,29.627192,0.059397005
29,mys_1,-3.366031,17.757336,104.31060791015625,29.58292,0.0593968
30,mys_1,-3.3659408,17.757246,103.55436706542969,29.58563,0.05879193
31,mys_1,-3.3658504,17.757246,104.93588256835938,29.475077,0.05867134
32,mys_1,-3.3657603,17.757156,104.72352600097656,29.345354,0.058911808
33,mys_1,-3.3656702,17.757065,106.37319946289062,29.09789,0.05921523
34,mys_1,-3.36558,17.756975,104.21284484863281,29.113035,0.058911808
35,mys_1,-3.3654897,17.756975,106.33963012695312,29.113035,0.058971953
36,mys_1,-3.3653996,17.756886,108.42304229736328,28.980335,0.058971953
37,mys_1,-3.3653092,17.756886,109.11065673828125,28.999754,0.059274092
38,mys_1,-3.365219,17.756794,109.03628540039062,28.946346,0.059032097
39,mys_1,-3.365129,17.756704,110.79916381835938,28.941685,0.058971457
40,mys_1,-3.3651292,17.756615,111.50306701660156,28.92222,0.058910813
41,mys_1,-3.365039,17.756525,111.94351959228516,28.851646,0.058971457
42,mys_1,-3.364949,17.756433,112.07945251464844,28.833311,0.059092037
43,mys_1,-3.3649492,17.756344,112.12144470214844,28.833311,0.059092037
44,mys_1,-3.364859,17.756254,112.64591217041016,28.823353,0.059272833
45,mys_1,-3.3648593,17.756165,112.64591217041016,28.774359,0.059394173
46,mys_1,-3.3648596,17.756075,111.78141021728516,28.904058,0.05921212
47,mys_1,-3.3647697,17.755983,111.78141021728516,28.901869,0.059030823
48,mys_1,-3.3646796,17.755894,111.38189697265625,28.91842,0.059151974
49,mys_1,-3.3646798,17.755804,111.57142639160156,28.91842,0.058909677
50,mys_1,-3.3645897,17.755714,111.84100341796875,28.96541,0.059090972
51,mys_1,-3.3644996,17.755623,112.3443603515625,28.910076,0.059815556
52,mys_1,-3.3644998,17.755533,112.4039306640625,28.8935,0.059815556
53,mys_1,-3.3645,17.755444,111.75421905517578,28.954351,0.059754357
54,mys_1,-3.3645003,17.755354,111.85159301757812,28.930923,0.059633236
55,mys_1,-3.3645005,17.755264,109.70695495605469,28.949547,0.059390977
56,mys_1,-3.3644104,17.755175,110.67526245117188,28.969213,0.05951211
57,mys_1,-3.3644106,17.755083,110.53785705566406,28.976946,0.05951211
58,mys_1,-3.3643205,17.754993,110.91596984863281,28.937593,0.059390977
