,Bounding Box,Latitude,Longitude,Turbidity,Hue Angle,Rhow 865
0,mda_2,-4.370479,20.297966,,,
1,mda_2,-4.3704786,20.297876,,,
2,mda_2,-4.370569,20.297787,,,
3,mda_2,-4.3706594,20.297697,,,
4,mda_2,-4.37075,20.297606,,,
5,mda_2,-4.3708405,20.297516,,,
6,mda_2,-4.3709307,20.297426,,,
7,mda_2,-4.3709307,20.297337,,,
8,mda_2,-4.371021,20.297245,,,
9,mda_2,-4.3711114,20.297155,,,
10,mda_2,-4.3712015,20.297066,,,
11,mda_2,-4.371292,20.296974,,,
12,mda_2,-4.3713827,20.296885,,,
13,mda_2,-4.371382,20.296795,,,
14,mda_2,-4.371473,20.296705,,,
15,mda_2,-4.371563,20.296614,,,
16,mda_2,-4.3716536,20.296524,,,
17,mda_2,-4.371744,20.296434,,,
18,mda_2,-4.3717437,20.296343,,,
19,mda_2,-4.3717437,20.296253,,,
20,mda_2,-4.3717437,20.296164,,,
21,mda_2,-4.3718343,20.296074,,,
22,mda_2,-4.3719244,20.295982,,,
23,mda_2,-4.372015,20.295893,,,
24,mda_2,-4.372105,20.295803,,,
25,mda_2,-4.372105,20.295712,,,
26,mda_2,-4.372105,20.295622,,,
27,mda_2,-4.372105,20.295532,,,
28,mda_2,-4.3721952,20.295443,,,
29,mda_2,-4.3721952,20.295351,,,
30,mda_2,-4.3721952,20.295261,,,
31,mda_2,-4.3722854,20.295172,,,
32,mda_2,-4.372376,20.295082,,,
33,mda_2,-4.372466,20.29499,,,
34,mda_2,-4.3725567,20.2949,,,
35,mda_2,-4.3725567,20.294811,,,
36,mda_2,-4.3725567,20.29472,,,
37,mda_2,-4.372556,20.29463,,,
38,mda_2,-4.372647,20.29454,,,
39,mda_2,-4.372647,20.29445,,,
40,mda_2,-4.372647,20.29436,,,
41,mda_2,-4.372737,20.29427,,,
42,mda_2,-4.3728275,20.29418,,,
43,mda_2,-4.372827,20.29409,,,
44,mda_2,-4.372827,20.293999,,,
45,mda_2,-4.3727365,20.29391,,,
46,mda_2,-4.3727365,20.29382,,,
47,mda_2,-4.3727365,20.29373,,,
48,mda_2,-4.372646,20.293638,,,
49,mda_2,-4.3725553,20.293549,,,
50,mda_2,-4.3725553,20.293459,,,
51,mda_2,-4.3725553,20.29337,,,
52,mda_2,-4.3724647,20.29328,,,
53,mda_2,-4.372374,20.293188,,,
54,mda_2,-4.3722835,20.293098,,,
55,mda_2,-4.372193,20.293009,,,
56,mda_2,-4.372193,20.29292,,,
57,mda_2,-4.3721023,20.292828,,,
58,mda_2,-4.3720117,20.292738,,,
59,mda_2,-4.3720117,20.292648,,,
60,mda_2,-4.371921,20.292559,,,
61,mda_2,-4.3718305,20.292469,,,
62,mda_2,-4.37174,20.292377,,,
63,mda_2,-4.37174,20.292288,,,
64,mda_2,-4.37174,20.292198,,,
65,mda_2,-4.3716493,20.292109,,,
66,mda_2,-4.3716493,20.292017,,,
67,mda_2,-4.3715587,20.291927,,,
68,mda_2,-4.371468,20.291838,,,
69,mda_2,-4.371468,20.291748,,,
70,mda_2,-4.371468,20.291658,,,
71,mda_2,-4.3713775,20.291567,,,
72,mda_2,-4.3713775,20.291477,,,
73,mda_2,-4.3713775,20.291388,,,
74,mda_2,-4.3713775,20.291298,,,
75,mda_2,-4.371287,20.291206,,,
76,mda_2,-4.3712864,20.291117,,,
77,mda_2,-4.3712864,20.291027,,,
78,mda_2,-4.3712864,20.290937,,,
79,mda_2,-4.371196,20.290846,,,
80,mda_2,-4.371196,20.290756,,,
81,mda_2,-4.371196,20.290667,,,
82,mda_2,-4.371196,20.290577,,,
83,mda_2,-4.371105,20.290485,,,
84,mda_2,-4.371105,20.290396,,,
85,mda_2,-4.3711047,20.290306,,,
86,mda_2,-4.3710146,20.290216,,,
87,mda_2,-4.370924,20.290127,,,
88,mda_2,-4.3709235,20.290035,,,
89,mda_2,-4.3709235,20.289946,,,
90,mda_2,-4.3709235,20.289856,,,
91,mda_2,-4.3709235,20.289766,,,
92,mda_2,-4.3709235,20.289675,,,
93,mda_2,-4.370833,20.289585,,,
94,mda_2,-4.370833,20.289495,,,
95,mda_2,-4.3707423,20.289406,,,
96,mda_2,-4.3707423,20.289314,,,
97,mda_2,-4.370742,20.289225,,,
98,mda_2,-4.370742,20.289135,,,
99,mda_2,-4.3706512,20.289045,,,
100,mda_2,-4.370742,20.288954,,,
101,mda_2,-4.370832,20.288864,,,
102,mda_2,-4.3709226,20.288774,,,
103,mda_2,-4.371013,20.288774,,,
104,mda_2,-4.3711033,20.288774,,,
105,mda_2,-4.371194,20.288774,,,
106,mda_2,-4.3712845,20.288683,,,
107,mda_2,-4.3713746,20.288683,,,
108,mda_2,-4.371465,20.288593,,,
109,mda_2,-4.371556,20.288593,,,
110,mda_2,-4.371646,20.288593,,,
111,mda_2,-4.3717365,20.288504,,,
112,mda_2,-4.3718266,20.288412,,,
113,mda_2,-4.3719172,20.288322,,,
114,mda_2,-4.3720074,20.288233,,,
115,mda_2,-4.372098,20.288233,,,
116,mda_2,-4.3721886,20.288141,,,
117,mda_2,-4.3722787,20.288052,,,
118,mda_2,-4.3723693,20.287962,,,
119,mda_2,-4.3724594,20.287872,,,
120,mda_2,-4.37255,20.28778,,,
121,mda_2,-4.37255,20.287691,,,
122,mda_2,-4.37264,20.287601,,,
123,mda_2,-4.3727307,20.28751,,,
124,mda_2,-4.372821,20.28742,,,
125,mda_2,-4.372821,20.28733,,,
126,mda_2,-4.3729115,20.287241,,,
127,mda_2,-4.372911,20.28715,,,
128,mda_2,-4.3730016,20.28706,,,
129,mda_2,-4.3730917,20.28697,,,
130,mda_2,-4.3731823,20.286879,,,
131,mda_2,-4.3731823,20.286789,,,
132,mda_2,-4.3732724,20.2867,,,
133,mda_2,-4.3732724,20.28661,,,
134,mda_2,-4.373363,20.286518,,,
135,mda_2,-4.373453,20.286428,,,
136,mda_2,-4.3735437,20.286339,,,
137,mda_2,-4.3735433,20.28625,,,
138,mda_2,-4.373634,20.286158,,,
139,mda_2,-4.373634,20.286068,,,
140,mda_2,-4.373724,20.285978,,,
141,mda_2,-4.3738146,20.285887,,,
142,mda_2,-4.3739047,20.285797,,,
143,mda_2,-4.3739047,20.285707,,,
144,mda_2,-4.3739953,20.285618,,,
145,mda_2,-4.3740854,20.285526,,,
146,mda_2,-4.374176,20.285437,,,
147,mda_2,-4.374176,20.285347,,,
148,mda_2,-4.374266,20.285255,,,
149,mda_2,-4.3743567,20.285166,,,
150,mda_2,-4.374447,20.285076,,,
151,mda_2,-4.374447,20.284986,,,
152,mda_2,-4.3745375,20.284895,,,
153,mda_2,-4.3746276,20.284805,,,
154,mda_2,-4.374718,20.284716,,,
155,mda_2,-4.3747177,20.284624,,,
156,mda_2,-4.3748083,20.284534,,,
157,mda_2,-4.3748083,20.284445,,,
158,mda_2,-4.3748083,20.284355,,,
159,mda_2,-4.3748984,20.284264,,,
160,mda_2,-4.374989,20.284174,,,
161,mda_2,-4.374989,20.284084,,,
162,mda_2,-4.375079,20.283995,,,
163,mda_2,-4.375079,20.283903,,,
164,mda_2,-4.375079,20.283813,,,
165,mda_2,-4.375079,20.283724,,,
166,mda_2,-4.3751693,20.283634,,,
167,mda_2,-4.3751693,20.283543,,,
168,mda_2,-4.3752594,20.283453,,,
169,mda_2,-4.3752594,20.283363,,,
170,mda_2,-4.3752594,20.283272,,,
171,mda_2,-4.3752594,20.283182,,,
172,mda_2,-4.3753495,20.283092,,,
173,mda_2,-4.3753495,20.283003,,,
174,mda_2,-4.37544,20.282911,,,
175,mda_2,-4.37544,20.282822,,,
176,mda_2,-4.3755302,20.282732,,,
177,mda_2,-4.3755302,20.282642,,,
178,mda_2,-4.3755302,20.28255,,,
179,mda_2,-4.3755302,20.282461,,,
180,mda_2,-4.3756204,20.282372,,,
181,mda_2,-4.3756204,20.282282,,,
182,mda_2,-4.37553,20.28219,,,
183,mda_2,-4.375439,20.2821,,,
184,mda_2,-4.375439,20.282011,,,
185,mda_2,-4.3753486,20.281921,,,
186,mda_2,-4.375258,20.28183,,,
187,mda_2,-4.3751674,20.28174,,,
188,mda_2,-4.375077,20.28165,,,
189,mda_2,-4.374986,20.28156,,,
190,mda_2,-4.374986,20.281471,,,
191,mda_2,-4.3748956,20.28138,,,
192,mda_2,-4.374805,20.28129,,,
193,mda_2,-4.374715,20.2812,,,
194,mda_2,-4.3747144,20.28111,,,
195,mda_2,-4.3746243,20.281021,,,
196,mda_2,-4.3745337,20.28093,,,
197,mda_2,-4.374443,20.28084,,,
198,mda_2,-4.3743525,20.28075,,,
199,mda_2,-4.374262,20.28066,,,
200,mda_2,-4.3741713,20.280571,,,
201,mda_2,-4.3740807,20.28048,,,
202,mda_2,-4.37399,20.28039,,,
203,mda_2,-4.3738995,20.2803,,,
204,mda_2,-4.3738995,20.28021,,,
205,mda_2,-4.373809,20.280119,,,
206,mda_2,-4.3737183,20.28003,,,
207,mda_2,-4.373628,20.27994,,,
208,mda_2,-4.3735375,20.27985,,,
209,mda_2,-4.373537,20.27976,,,
210,mda_2,-4.373447,20.279669,,,
211,mda_2,-4.3733563,20.27958,,,
212,mda_2,-4.3732657,20.27949,,,
213,mda_2,-4.3732657,20.2794,,,
214,mda_2,-4.373175,20.27931,,,
215,mda_2,-4.3730845,20.279219,,,
216,mda_2,-4.372994,20.279129,,,
217,mda_2,-4.372994,20.27904,,,
218,mda_2,-4.3729033,20.27895,,,
219,mda_2,-4.3729033,20.278858,,,
220,mda_2,-4.3728127,20.278769,,,
221,mda_2,-4.372903,20.278679,,,
222,mda_2,-4.372903,20.27859,,,
223,mda_2,-4.372903,20.278498,,,
224,mda_2,-4.372993,20.278408,,,
225,mda_2,-4.372993,20.278318,,,
226,mda_2,-4.3730836,20.278229,,,
227,mda_2,-4.3730836,20.278137,,,
228,mda_2,-4.3731737,20.278048,,,
229,mda_2,-4.3731737,20.277958,,,
230,mda_2,-4.3732643,20.277866,,,
231,mda_2,-4.373264,20.277777,,,
232,mda_2,-4.3733544,20.277687,,,
233,mda_2,-4.3734446,20.277597,,,
234,mda_2,-4.373535,20.277506,,,
235,mda_2,-4.3736253,20.277416,,,
236,mda_2,-4.373716,20.277327,,,
237,mda_2,-4.373716,20.277237,,,
238,mda_2,-4.373806,20.277145,,,
239,mda_2,-4.3738966,20.277056,,,
240,mda_2,-4.3739867,20.276966,,,
241,mda_2,-4.3739867,20.276875,,,
242,mda_2,-4.3740773,20.276785,,,
243,mda_2,-4.3740773,20.276695,,,
244,mda_2,-4.3741674,20.276606,,,
245,mda_2,-4.374258,20.276514,,,
246,mda_2,-4.374348,20.276424,,,
247,mda_2,-4.374348,20.276335,,,
248,mda_2,-4.3744383,20.276243,,,
249,mda_2,-4.3744383,20.276154,,,
250,mda_2,-4.374529,20.276064,,,
251,mda_2,-4.374529,20.275974,,,
252,mda_2,-4.374619,20.275883,,,
253,mda_2,-4.374619,20.275793,,,
254,mda_2,-4.374619,20.275703,,,
255,mda_2,-4.374619,20.275614,,,
256,mda_2,-4.3746185,20.275522,,,
257,mda_2,-4.3746185,20.275433,,,
258,mda_2,-4.3746185,20.275343,,,
259,mda_2,-4.3746185,20.275253,,,
260,mda_2,-4.3747087,20.275162,,,
261,mda_2,-4.3747087,20.275072,,,
262,mda_2,-4.3747087,20.274982,,,
263,mda_2,-4.374618,20.274893,,,
264,mda_2,-4.374618,20.274801,,,
265,mda_2,-4.374618,20.274712,,,
266,mda_2,-4.374618,20.274622,,,
267,mda_2,-4.3745275,20.274532,,,
268,mda_2,-4.374527,20.27444,,,
269,mda_2,-4.374527,20.274351,,,
270,mda_2,-4.374527,20.274261,,,
271,mda_2,-4.374527,20.274172,,,
272,mda_2,-4.3744364,20.27408,,,
273,mda_2,-4.374346,20.27399,,,
274,mda_2,-4.374255,20.273901,,,
275,mda_2,-4.374255,20.273811,,,
276,mda_2,-4.3741646,20.273722,,,
277,mda_2,-4.3741646,20.27363,,,
278,mda_2,-4.374074,20.27354,,,
279,mda_2,-4.374074,20.27345,,,
280,mda_2,-4.3739834,20.273361,,,
281,mda_2,-4.3739834,20.27327,,,
282,mda_2,-4.373893,20.27318,,,
283,mda_2,-4.373893,20.27309,,,
284,mda_2,-4.373802,20.273,,,
285,mda_2,-4.373802,20.272911,,,
286,mda_2,-4.3737116,20.27282,,,
287,mda_2,-4.3737116,20.27273,,,
288,mda_2,-4.373621,20.27264,,,
289,mda_2,-4.373621,20.27255,,,
290,mda_2,-4.3736205,20.272459,,,
291,mda_2,-4.3736205,20.27237,,,
292,mda_2,-4.3736205,20.27228,,,
293,mda_2,-4.3736205,20.27219,,,
294,mda_2,-4.3736205,20.272099,,,
295,mda_2,-4.37362,20.272009,,,
296,mda_2,-4.37362,20.27192,,,
297,mda_2,-4.37362,20.27183,,,
298,mda_2,-4.37362,20.271738,,,
299,mda_2,-4.37362,20.271648,,,
300,mda_2,-4.37362,20.271559,,,
301,mda_2,-4.3736196,20.27147,,,
302,mda_2,-4.3736196,20.271378,,,
303,mda_2,-4.3736196,20.271288,,,
304,mda_2,-4.3736196,20.271198,,,
305,mda_2,-4.3736196,20.271109,,,
306,mda_2,-4.373619,20.271017,,,
307,mda_2,-4.3737097,20.270927,,,
308,mda_2,-4.3738,20.270838,,,
309,mda_2,-4.3738904,20.270838,,,
310,mda_2,-4.373981,20.270746,,,
311,mda_2,-4.374071,20.270746,,,
312,mda_2,-4.3741617,20.270657,,,
313,mda_2,-4.3742523,20.270657,,,
314,mda_2,-4.3743424,20.270567,,,
315,mda_2,-4.374433,20.270567,,,
316,mda_2,-4.374523,20.270475,,,
317,mda_2,-4.374614,20.270475,,,
318,mda_2,-4.3747044,20.270386,,,
319,mda_2,-4.3747945,20.270296,,,
320,mda_2,-4.374885,20.270205,,,
