,Bounding Box,Latitude,Longitude,Turbidity,Hue Angle,Rhow 865
0,mda_2,-4.370752,20.29959,6.37018346786499,,0.03261769
1,mda_2,-4.370752,20.2995,6.529923439025879,,0.02783328
2,mda_2,-4.370842,20.299408,6.95906400680542,,0.027432028
3,mda_2,-4.370842,20.299318,7.040053367614746,,0.026773851
4,mda_2,-4.370842,20.299229,7.311175346374512,,0.026104625
5,mda_2,-4.370932,20.299139,12.526506423950195,,0.026104625
6,mda_2,-4.3710227,20.299047,13.588766098022461,,0.0219451
7,mda_2,-4.371113,20.298958,14.354923248291016,,0.017896105
8,mda_2,-4.3712034,20.298868,15.069249153137207,35.194214,0.017783254
9,mda_2,-4.3712034,20.298777,15.331375122070312,37.090508,0.017784415
10,mda_2,-4.3712935,20.298687,16.061193466186523,35.524227,0.017783254
11,mda_2,-4.371384,20.298597,16.464740753173828,35.369713,0.017784415
12,mda_2,-4.3714743,20.298506,28.63491439819336,35.116383,0.027918816
13,mda_2,-4.371565,20.298416,54.550926208496094,35.125546,0.038352415
14,mda_2,-4.371565,20.298326,56.119911193847656,35.07095,0.038833793
15,mda_2,-4.371655,20.298237,58.88221740722656,35.048542,0.03890962
16,mda_2,-4.3717456,20.298145,59.36702346801758,35.13137,0.03896115
17,mda_2,-4.3717456,20.298056,59.26338577270508,35.1769,0.03898545
18,mda_2,-4.3718357,20.297966,59.83332061767578,35.062782,0.038885325
19,mda_2,-4.3719263,20.297876,60.30508041381836,35.127373,0.038833793
20,mda_2,-4.3720164,20.297785,57.92542266845703,35.197853,0.038633488
21,mda_2,-4.372107,20.297695,56.410545349121094,35.24569,0.038356718
22,mda_2,-4.372197,20.297606,56.158721923828125,35.396614,0.03764036
23,mda_2,-4.3722878,20.297514,52.79255676269531,35.389618,0.037154615
24,mda_2,-4.372378,20.297424,52.34529495239258,35.413155,0.036290232
25,mda_2,-4.372378,20.297335,51.522705078125,35.389618,0.036290064
26,mda_2,-4.3724685,20.297245,52.00042724609375,35.111874,0.036290232
27,mda_2,-4.3724685,20.297153,53.05781555175781,34.959854,0.0362904
28,mda_2,-4.372468,20.297064,54.166221618652344,34.844986,0.036290552
29,mda_2,-4.3725586,20.296974,56.64258575439453,33.54208,0.036290705
30,mda_2,-4.3726487,20.296883,57.9605827331543,32.97443,0.036290705
31,mda_2,-4.3727393,20.296793,57.85340881347656,32.695747,0.036290705
32,mda_2,-4.37283,20.296703,58.00722122192383,32.551018,0.035847466
33,mda_2,-4.3728294,20.296614,57.484683990478516,32.500816,0.03556861
34,mda_2,-4.37292,20.296522,57.64533233642578,32.432423,0.03529805
35,mda_2,-4.37301,20.296432,58.8399772644043,32.170574,0.03529805
36,mda_2,-4.3731008,20.296343,59.96946334838867,31.970375,0.035242308
37,mda_2,-4.3731914,20.296251,61.091922760009766,31.806648,0.03529805
