,Bounding Box,Latitude,Longitude,Turbidity,Hue Angle,Rhow 865
83,mys_1,-3.3631518,17.752922,281.5870361328125,27.257236,0.080317445
84,mys_1,-3.3630617,17.752832,282.3379821777344,27.270767,0.08066282
85,mys_1,-3.363062,17.752743,282.7190856933594,27.28522,0.08066296
86,mys_1,-3.3629718,17.752653,282.3403625488281,27.270767,0.08066296
87,mys_1,-3.3628817,17.752562,282.3379821777344,27.30357,0.08066296
88,mys_1,-3.3627915,17.752472,278.95355224609375,27.30357,0.08060552
89,mys_1,-3.3627918,17.752382,277.8297424316406,27.275831,0.08043276
90,mys_1,-3.3627017,17.752293,271.914306640625,27.242224,0.079855956
91,mys_1,-3.3626115,17.752201,270.817626953125,27.231886,0.078588754
92,mys_1,-3.3625214,17.752111,270.0887145996094,27.231886,0.07807033
93,mys_1,-3.3625216,17.752022,270.45074462890625,27.236107,0.07807033
94,mys_1,-3.3624315,17.751932,270.448486328125,27.249048,0.07789721
95,mys_1,-3.3624318,17.75184,270.08642578125,27.2378,0.07801247
96,mys_1,-3.3623416,17.75175,267.90771484375,27.210915,0.07749403
97,mys_1,-3.3622515,17.751661,265.3824462890625,27.192183,0.07709047
98,mys_1,-3.3621614,17.751572,263.94940185546875,27.18115,0.07685952
99,mys_1,-3.3621616,17.75148,263.23529052734375,27.186054,0.07628303
100,mys_1,-3.3620718,17.75139,259.6911926269531,27.190817,0.07611044
101,mys_1,-3.362072,17.7513,258.98382568359375,27.179552,0.07593763
102,mys_1,-3.3619819,17.751211,257.23187255859375,27.17879,0.07536074
103,mys_1,-3.361982,17.751122,254.7894744873047,27.17879,0.07513005
104,mys_1,-3.361892,17.75103,252.02127075195312,27.17853,0.07501471
105,mys_1,-3.3618019,17.75094,249.62319946289062,27.173723,0.07489936
106,mys_1,-3.3617117,17.75085,246.2247772216797,27.164255,0.073340945
107,mys_1,-3.361712,17.750761,242.19143676757812,27.164255,0.07178279
108,mys_1,-3.3616219,17.75067,238.216796875,27.16456,0.07132184
109,mys_1,-3.361622,17.75058,235.5960693359375,27.166143,0.07126372
110,mys_1,-3.361532,17.75049,231.37847900390625,27.165699,0.07062855
111,mys_1,-3.3614419,17.7504,228.1731719970703,27.163456,0.070397176
112,mys_1,-3.3613517,17.750309,226.900390625,27.16879,0.07005065
113,mys_1,-3.361352,17.75022,226.26785278320312,27.171791,0.06987752
114,mys_1,-3.3612618,17.75013,225.00454711914062,27.177568,0.06901117
115,mys_1,-3.3611717,17.75004,222.17776489257812,27.194893,0.068375215
116,mys_1,-3.3610816,17.749949,220.62046813964844,27.202148,0.06797108
117,mys_1,-3.3610818,17.749859,220.61851501464844,27.198467,0.06808667
118,mys_1,-3.360992,17.74977,220.30810546875,27.2057,0.067970626
119,mys_1,-3.3609018,17.74968,216.91156005859375,27.20296,0.067739144
120,mys_1,-3.3608117,17.749588,214.46902465820312,27.209955,0.06733434
121,mys_1,-3.360812,17.749498,215.07455444335938,27.212986,0.06733434
122,mys_1,-3.3607218,17.749409,215.0759735107422,27.203999,0.067161456
123,mys_1,-3.3606317,17.74932,213.85968017578125,27.203842,0.06687256
124,mys_1,-3.3605416,17.74923,212.64523315429688,27.217892,0.06658329
125,mys_1,-3.3604515,17.749138,212.04090881347656,27.225891,0.06652494
126,mys_1,-3.3603613,17.749048,210.83782958984375,27.21149,0.06646697
