,Bounding Box,Latitude,Longitude,Turbidity,Hue Angle
0,ldq_1,-9.480175971984863,20.35723114013672,12.681246757507324,35.42792892456055
1,ldq_1,-9.480175971984863,20.357322692871094,,
2,ldq_1,-9.48017692565918,20.35741424560547,,
3,ldq_1,-9.48017692565918,20.357505798339844,,
4,ldq_1,-9.48017692565918,20.357595443725586,,
5,ldq_1,-9.48017692565918,20.35768699645996,,
6,ldq_1,-9.48017692565918,20.357778549194336,,
7,ldq_1,-9.48017692565918,20.35787010192871,,
8,ldq_1,-9.480177879333496,20.357959747314453,,
9,ldq_1,-9.480177879333496,20.358051300048828,,
10,ldq_1,-9.480177879333496,20.358142852783203,,
11,ldq_1,-9.480177879333496,20.358234405517578,,
12,ldq_1,-9.480177879333496,20.35832405090332,16.39235496520996,33.68339157104492
13,ldq_1,-9.480177879333496,20.35832405090332,16.39235496520996,33.68339157104492
14,ldq_1,-9.480177879333496,20.358415603637695,81.6849136352539,33.95304489135742
15,ldq_1,-9.480178833007812,20.35850715637207,80.87239074707031,36.19358825683594
16,ldq_1,-9.480178833007812,20.358598709106445,15.041817665100098,38.21475601196289
17,ldq_1,-9.480178833007812,20.35869026184082,14.766907691955566,38.26502990722656
18,ldq_1,-9.480088233947754,20.358779907226562,15.378616333007812,36.51087188720703
19,ldq_1,-9.480088233947754,20.358871459960938,10.341226577758789,38.76420211791992
20,ldq_1,-9.48008918762207,20.358963012695312,5.595371723175049,39.67915344238281
21,ldq_1,-9.479998588562012,20.359054565429688,5.983066558837891,39.48572540283203
22,ldq_1,-9.479907989501953,20.359146118164062,5.704905033111572,38.86058807373047
23,ldq_1,-9.479818344116211,20.359235763549805,5.593547344207764,39.59555435180664
24,ldq_1,-9.479727745056152,20.35932731628418,5.314377784729004,40.976776123046875
25,ldq_1,-9.479637145996094,20.359418869018555,15.705686569213867,39.167388916015625
26,ldq_1,-9.479547500610352,20.35951042175293,15.398876190185547,37.635772705078125
27,ldq_1,-9.479456901550293,20.359601974487305,13.804191589355469,37.71699142456055
28,ldq_1,-9.479456901550293,20.35969352722168,10.730488777160645,38.99822998046875
29,ldq_1,-9.47936725616455,20.359783172607422,11.842302322387695,39.07896423339844
30,ldq_1,-9.479276657104492,20.359874725341797,12.600753784179688,38.800209045410156
31,ldq_1,-9.479186058044434,20.359966278076172,12.379541397094727,38.15338134765625
32,ldq_1,-9.479096412658691,20.360057830810547,11.74793815612793,39.85616683959961
33,ldq_1,-9.479005813598633,20.360149383544922,10.513843536376953,39.20196533203125
